OSMadre,Orden,costoRepuesto,costoMO,costoTTA,costoTotal,wip
505900478900,505900478908,0.0,0.0,0.0,0.0,0
505900478900,505900478909,0.0,0.0,0.0,0.0,0
505900478900,505900478910,28924.44,0.0,0.0,28924.44,75
505900479000,505900479001,9922.08,1733.95,15738.02,31580.69,74
505900479000,505900479002,55298.1,6073.68,0.0,61371.78,73
505900479000,505900479003,0.0,0.0,0.0,0.0,0
505900479000,505900479004,0.0,0.0,0.0,0.0,0
505900479000,505900479005,0.0,0.0,0.0,0.0,0
505900479000,505900479006,0.0,0.0,0.0,0.0,0
505900479000,505900479007,0.0,0.0,0.0,0.0,0
505900479000,505900479008,0.0,0.0,0.0,0.0,0
505900479200,505900479201,50001.9,5394.11,0.0,55945.74,117
505900479200,505900479202,0.0,0.0,0.0,0.0,0
505900479200,505900479203,0.0,0.0,0.0,0.0,0
505900479200,505900479204,0.0,0.0,0.0,0.0,0
505900479200,505900479205,0.0,0.0,0.0,0.0,0
505900479200,505900479206,0.0,0.0,0.0,0.0,0
505900479200,505900479207,0.0,0.0,0.0,0.0,0
505900479200,505900479208,0.0,0.0,0.0,0.0,0
505900479200,505900479209,0.0,0.0,0.0,0.0,0
505900479600,505900479601,4328.46,1611.87,6676.32,14171.97,75
505900479600,505900479602,29447.75,5745.83,0.0,35193.58,76
505900479600,505900479603,0.0,0.0,0.0,0.0,0
505900479600,505900479604,0.0,0.0,0.0,0.0,0
505900479600,505900479605,0.0,0.0,0.0,0.0,0
505900479600,505900479606,0.0,0.0,0.0,0.0,0
505900479600,505900479607,0.0,0.0,0.0,0.0,0
505900479600,505900479608,0.0,0.0,0.0,0.0,0
505900480300,505900480301,44897.82,6454.03,7934.22,64574.93,75
505900480300,505900480302,0.0,0.0,0.0,0.0,0
505900480300,505900480303,0.0,0.0,0.0,0.0,0
505900480300,505900480304,0.0,0.0,0.0,0.0,0
505900480300,505900480305,0.0,0.0,0.0,0.0,0
505900480300,505900480306,0.0,0.0,0.0,0.0,0
505900480300,505900480307,0.0,0.0,0.0,0.0,0
505900480300,505900480308,0.0,0.0,0.0,0.0,0
505900480500,505900480501,7328.15,2560.46,0.0,11498.61,63
505900480500,505900480502,0.0,0.0,0.0,0.0,0
505900480500,505900480503,819.15,0.0,0.0,819.15,23
505900480500,505900480504,0.0,0.0,0.0,0.0,0
505900480500,505900480505,0.0,0.0,0.0,0.0,0
505900480500,505900480506,0.0,0.0,0.0,0.0,0
505900480500,505900480507,0.0,0.0,0.0,0.0,0
505900480500,505900480508,0.0,0.0,719.25,719.25,28
505900481200,505900481201,21514.37,2629.43,0.0,24143.8,84
505900481200,505900481202,0.0,0.0,0.0,0.0,0
505900481200,505900481203,6486.16,0.0,0.0,6486.16,49
505900481200,505900481204,0.0,0.0,0.0,0.0,0
505900481200,505900481205,335.75,0.0,0.0,335.75,19
505900481200,505900481206,0.0,0.0,0.0,0.0,0
505900481200,505900481207,0.0,0.0,0.0,0.0,0
505900481200,505900481208,0.0,0.0,0.0,0.0,0
505900481300,505900481301,13232.06,4361.34,0.0,18012.4,91
505900481300,505900481302,0.0,0.0,0.0,0.0,0
505900481300,505900481303,1763.12,0.0,0.0,1763.12,84
505900481300,505900481304,0.0,0.0,0.0,0.0,0
505900481300,505900481305,8.08,0.0,0.0,8.08,10
505900481300,505900481306,0.0,0.0,0.0,0.0,0
505900481300,505900481307,0.0,0.0,0.0,0.0,0
505900481400,505900481401,14513.73,5644.03,0.0,20157.76,83
505900481400,505900481402,0.0,0.0,0.0,0.0,0
